filename,path,extension,size,channels,width,height
cat.0.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.0.jpg,.jpg,12414,3,500,374
cat.1.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.1.jpg,.jpg,16880,3,300,280
cat.10.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10.jpg,.jpg,34315,3,489,499
cat.100.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.100.jpg,.jpg,28377,3,403,499
cat.1000.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.1000.jpg,.jpg,5944,3,150,149
cat.10000.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10000.jpg,.jpg,21944,3,431,359
cat.10001.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10001.jpg,.jpg,27322,3,500,374
cat.10002.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10002.jpg,.jpg,25723,3,499,471
cat.10003.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10003.jpg,.jpg,28035,3,499,375
cat.10004.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10004.jpg,.jpg,12973,3,320,239
cat.10005.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10005.jpg,.jpg,8245,3,319,177
cat.10006.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10006.jpg,.jpg,24153,3,460,320
cat.10007.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10007.jpg,.jpg,10328,3,219,300
cat.10008.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10008.jpg,.jpg,25222,3,500,374
cat.10009.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10009.jpg,.jpg,21281,3,472,500
cat.1001.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.1001.jpg,.jpg,23099,3,336,499
cat.10010.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10010.jpg,.jpg,32880,3,499,386
cat.10011.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10011.jpg,.jpg,27559,3,357,448
cat.10012.jpg,C:/Users/m0815/Downloads/dogs-vs-cats/train/train\cat.10012.jpg,.jpg,8074,3,250,166
